short_name,value_eur,overall,player_positions,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,nationality
T. Melia,2200000,73,GK,73.0,68.0,73.0,75.0,37.0,75.0,United States
S. Sosa,2400000,73,GK,73.0,68.0,65.0,74.0,41.0,72.0,Uruguay
M. Dituro,2400000,73,GK,72.0,72.0,76.0,76.0,41.0,71.0,Argentina
Jaim Abra,2800000,73,GK,77.0,71.0,68.0,74.0,54.0,73.0,Brazil
Freder Cabral,2800000,73,GK,73.0,77.0,69.0,66.0,48.0,76.0,Brazil
Pierrino Faria,2600000,73,GK,77.0,65.0,62.0,76.0,49.0,75.0,Brazil
Nivo Serpinho,1100000,73,GK,72.0,75.0,69.0,72.0,54.0,73.0,Brazil
M. Higashiguchi,2200000,73,GK,71.0,73.0,75.0,70.0,33.0,72.0,Japan
S. Scuffet,3900000,72,GK,72.0,68.0,60.0,80.0,50.0,70.0,Italy
G. Kobel,4000000,72,GK,73.0,63.0,68.0,78.0,26.0,69.0,Switzerland
Léo Jardim,3500000,72,GK,75.0,72.0,67.0,73.0,42.0,66.0,Brazil
B. Cortés,3300000,72,GK,71.0,73.0,66.0,74.0,48.0,70.0,Chile
R. Gudiño,3300000,72,GK,72.0,72.0,62.0,74.0,47.0,69.0,Mexico
J. Drommel,3300000,72,GK,74.0,69.0,70.0,73.0,51.0,69.0,Netherlands
A. Montero,3300000,72,GK,75.0,69.0,65.0,73.0,43.0,71.0,Colombia
I. Pettersson,3300000,72,GK,77.0,62.0,79.0,77.0,28.0,66.0,Sweden
E. Horvath,3100000,72,GK,79.0,67.0,57.0,77.0,49.0,62.0,United States
J. Pollersbeck,3100000,72,GK,75.0,66.0,71.0,75.0,28.0,70.0,Germany
J. Butez,3100000,72,GK,75.0,67.0,73.0,74.0,44.0,68.0,France
Jandrei,3000000,72,GK,72.0,71.0,69.0,76.0,28.0,70.0,Brazil
S. Ortega,2900000,72,GK,74.0,66.0,74.0,77.0,51.0,69.0,Germany
M. Bettinelli,2800000,72,GK,74.0,69.0,69.0,76.0,29.0,73.0,England
Q. Beunardeau,3000000,72,GK,73.0,68.0,62.0,75.0,51.0,68.0,France
S. Dimitrievski,3000000,72,GK,73.0,70.0,69.0,71.0,37.0,75.0,FYR Macedonia
D. Jensen,2700000,72,GK,70.0,68.0,78.0,72.0,40.0,71.0,Denmark
M. Flekken,2800000,72,GK,72.0,71.0,66.0,74.0,32.0,70.0,Netherlands
A. Abedzadeh,2800000,72,GK,71.0,70.0,64.0,75.0,27.0,72.0,Iran
A. Saldívar,2600000,72,GK,71.0,72.0,70.0,72.0,48.0,71.0,Mexico
W. Foderingham,2700000,72,GK,73.0,69.0,70.0,74.0,43.0,70.0,England
V. Belec,0,72,GK,73.0,72.0,60.0,74.0,48.0,71.0,Slovenia
Sergio Herrera,2700000,72,GK,72.0,73.0,71.0,70.0,47.0,69.0,Spain
Jhonatan,2700000,72,GK,76.0,70.0,70.0,76.0,33.0,67.0,Brazil
A. Smithies,2500000,72,GK,73.0,69.0,67.0,73.0,59.0,73.0,England
S. Johnson,2400000,72,GK,73.0,67.0,70.0,76.0,43.0,70.0,United States
M. Al Owais,2500000,72,GK,71.0,72.0,67.0,70.0,47.0,72.0,Saudi Arabia
F. Ben Mustapha,2400000,72,GK,74.0,71.0,60.0,72.0,47.0,75.0,Tunisia
C. Gordon,525000,72,GK,73.0,71.0,65.0,74.0,35.0,70.0,Scotland
L. Grant,525000,72,GK,73.0,70.0,73.0,72.0,49.0,71.0,England
M. Rensing,850000,72,GK,72.0,71.0,64.0,72.0,41.0,72.0,Germany
S. Bossut,1700000,72,GK,72.0,70.0,65.0,71.0,45.0,73.0,Belgium
L. Pocrnjic,325000,72,GK,71.0,71.0,64.0,70.0,27.0,74.0,Argentina
A. Cordaz,525000,72,GK,68.0,71.0,62.0,74.0,26.0,72.0,Italy
C. Lucchetti,325000,72,GK,72.0,69.0,76.0,73.0,43.0,70.0,Argentina
S. Carson,1700000,72,GK,71.0,70.0,69.0,70.0,35.0,72.0,England
N. Champagne,1400000,72,GK,74.0,69.0,65.0,77.0,37.0,69.0,Argentina
Eduardo,525000,72,GK,70.0,73.0,68.0,69.0,41.0,75.0,Portugal
B. Guzan,1400000,72,GK,72.0,68.0,72.0,74.0,37.0,72.0,United States
N. Navarro,1400000,72,GK,71.0,72.0,68.0,75.0,52.0,70.0,Argentina
Kwoun Sun Tae,1400000,72,GK,72.0,69.0,64.0,72.0,43.0,71.0,Korea Republic
Bracali,325000,72,GK,74.0,72.0,60.0,69.0,40.0,72.0,Brazil
M. Kozáčik,850000,72,GK,70.0,71.0,69.0,70.0,57.0,77.0,Slovakia
M. Langerak,2100000,72,GK,73.0,71.0,52.0,76.0,50.0,68.0,Australia
E. Mulder,2100000,72,GK,72.0,70.0,80.0,74.0,38.0,68.0,Netherlands
Ricardo Ferreira,2200000,72,GK,74.0,71.0,64.0,71.0,42.0,69.0,Portugal
O. Nyland,2300000,72,GK,73.0,67.0,77.0,74.0,48.0,73.0,Norway
Alberto,1400000,72,GK,72.0,71.0,71.0,73.0,63.0,70.0,Spain
R. Wolf,2000000,72,GK,73.0,69.0,68.0,72.0,33.0,70.0,Germany
C. Pinsoglio,2200000,72,GK,74.0,70.0,58.0,76.0,42.0,74.0,Italy
Da Costa,850000,72,GK,71.0,71.0,64.0,72.0,39.0,75.0,Brazil
K. Nordfeldt,2100000,72,GK,71.0,66.0,66.0,76.0,53.0,74.0,Sweden
A. Luthe,1900000,72,GK,74.0,68.0,61.0,76.0,39.0,73.0,Germany
F. Wiedwald,2200000,72,GK,77.0,64.0,68.0,77.0,40.0,67.0,Germany
A. Silva,850000,72,GK,71.0,70.0,64.0,72.0,39.0,70.0,Paraguay
S. Nishikawa,1700000,72,GK,73.0,68.0,75.0,77.0,42.0,70.0,Japan
D. Dibusz,0,72,GK,73.0,67.0,70.0,74.0,23.0,70.0,Hungary
P. Gallese,0,72,GK,74.0,67.0,69.0,73.0,47.0,69.0,Peru
David Raya,2500000,71,GK,71.0,72.0,63.0,71.0,43.0,67.0,Spain
K. Letica,2500000,71,GK,77.0,63.0,64.0,73.0,32.0,72.0,Croatia
Rui Silva,2400000,71,GK,73.0,65.0,63.0,75.0,30.0,69.0,Portugal
A. Schlager,2400000,71,GK,72.0,68.0,66.0,74.0,35.0,70.0,Austria
G. Lajud,2300000,71,GK,71.0,66.0,63.0,74.0,45.0,74.0,Mexico
J. Ledesma,2300000,71,GK,71.0,67.0,64.0,74.0,45.0,70.0,Argentina
J. Joronen,2200000,71,GK,74.0,70.0,67.0,71.0,39.0,71.0,Finland
Kang Hyeon Mu,2300000,71,GK,71.0,66.0,63.0,74.0,45.0,69.0,Korea Republic
E. Zelazny,2100000,71,GK,74.0,68.0,60.0,74.0,45.0,73.0,France
S. Bain,2100000,71,GK,69.0,71.0,72.0,74.0,58.0,67.0,Scotland
J. Blaswich,2100000,71,GK,70.0,72.0,68.0,78.0,41.0,67.0,Germany
M. Schuhen,2100000,71,GK,73.0,69.0,68.0,75.0,52.0,67.0,Germany
L. Zingerle,2200000,71,GK,70.0,68.0,67.0,74.0,43.0,72.0,Germany
W. Hahn,2100000,71,GK,74.0,67.0,66.0,76.0,48.0,65.0,Netherlands
P. Tsintotas,2200000,71,GK,73.0,70.0,70.0,75.0,30.0,63.0,Greece
G. Makaridze,2000000,71,GK,76.0,67.0,56.0,73.0,28.0,68.0,Georgia
Raúl Lizoain,2100000,71,GK,70.0,72.0,62.0,70.0,51.0,70.0,Spain
Helton Leite,2100000,71,GK,73.0,68.0,68.0,73.0,19.0,67.0,Brazil
H. González,2000000,71,GK,74.0,70.0,69.0,71.0,33.0,71.0,Mexico
J. Siebenhandl,1900000,71,GK,69.0,68.0,75.0,74.0,47.0,69.0,Austria
Dani Jiménez,1900000,71,GK,72.0,68.0,65.0,73.0,52.0,68.0,Spain
K. Lamprou,1900000,71,GK,72.0,65.0,75.0,78.0,44.0,65.0,Greece
P. Terracciano,1900000,71,GK,72.0,67.0,64.0,75.0,41.0,69.0,Italy
L. Hoyos,1800000,71,GK,77.0,68.0,65.0,74.0,56.0,65.0,Argentina
K. Eissa,1900000,71,GK,69.0,65.0,59.0,77.0,48.0,73.0,United Arab Emirates
N. Rimando,240000,71,GK,71.0,69.0,69.0,73.0,46.0,70.0,United States
T. Howard,240000,71,GK,72.0,72.0,72.0,68.0,44.0,71.0,United States
J. Wiland,240000,71,GK,65.0,75.0,67.0,66.0,27.0,77.0,Sweden
G. Lux,240000,71,GK,69.0,71.0,74.0,71.0,34.0,70.0,Argentina
F. Boeckx,1400000,71,GK,69.0,71.0,78.0,71.0,34.0,70.0,Belgium
D. Marshall,1000000,71,GK,70.0,69.0,66.0,71.0,49.0,72.0,Scotland
P. Pentke,1000000,71,GK,72.0,67.0,66.0,72.0,37.0,70.0,Germany
C. Campestrini,240000,71,GK,72.0,69.0,62.0,73.0,24.0,69.0,Argentina
T. Kessler,1300000,71,GK,72.0,69.0,67.0,71.0,47.0,70.0,Germany
R. Pasveer,650000,71,GK,72.0,69.0,79.0,70.0,43.0,69.0,Netherlands
A. Federici,1000000,71,GK,71.0,67.0,77.0,69.0,45.0,70.0,Australia
K. Steppe,1600000,71,GK,72.0,68.0,64.0,71.0,44.0,70.0,Belgium
Jung Sung Ryong,1000000,71,GK,70.0,66.0,78.0,72.0,44.0,69.0,Korea Republic
F. Rodríguez,1600000,71,GK,68.0,68.0,71.0,73.0,52.0,72.0,Mexico
R. Boffin,1500000,71,GK,68.0,67.0,70.0,74.0,57.0,71.0,Belgium
J. García,1400000,71,GK,74.0,65.0,74.0,76.0,35.0,69.0,Argentina
Zeng Cheng,1400000,71,GK,69.0,68.0,70.0,69.0,33.0,73.0,China PR
Denis,1400000,71,GK,71.0,72.0,70.0,76.0,53.0,64.0,Brazil
D. González,400000,71,GK,69.0,70.0,66.0,70.0,37.0,72.0,Colombia
D. Kuciak,1000000,71,GK,75.0,64.0,62.0,77.0,36.0,71.0,Slovakia
E. Conde,400000,71,GK,71.0,72.0,62.0,70.0,31.0,71.0,Uruguay
Raúl Fernández,1500000,71,GK,71.0,69.0,62.0,71.0,42.0,72.0,Spain
J. McLaughlin,1500000,71,GK,70.0,73.0,72.0,69.0,55.0,72.0,Scotland
S. Burchert,1700000,71,GK,71.0,69.0,68.0,70.0,45.0,71.0,Germany
C. Toselli,1500000,71,GK,69.0,69.0,70.0,72.0,49.0,70.0,Chile
M. Samassa,1700000,71,GK,72.0,66.0,69.0,76.0,52.0,68.0,Mali
O. Jiménez,1600000,71,GK,74.0,68.0,68.0,72.0,33.0,71.0,Mexico
P. Pervan,1500000,71,GK,68.0,73.0,69.0,75.0,29.0,70.0,Austria
K. Müller,1700000,71,GK,70.0,67.0,59.0,74.0,47.0,71.0,Germany
C. Bălgrădean,1500000,71,GK,70.0,71.0,69.0,70.0,50.0,71.0,Romania
R. Himmelmann,1600000,71,GK,69.0,64.0,61.0,78.0,34.0,70.0,Germany
M. Goicoechea,1500000,71,GK,71.0,68.0,71.0,73.0,51.0,68.0,Uruguay
W. Dutoit,1600000,71,GK,73.0,67.0,66.0,74.0,46.0,70.0,France
S. Torrico,240000,71,GK,68.0,69.0,69.0,68.0,49.0,74.0,Argentina
André Milazisco,650000,71,GK,77.0,61.0,62.0,77.0,34.0,64.0,Brazil
Wiliam Santinho,650000,71,GK,61.0,77.0,76.0,73.0,35.0,70.0,Brazil
Nathael Silbeira,650000,71,GK,61.0,73.0,69.0,70.0,16.0,73.0,Brazil
Eduardo Fonseira,1500000,71,GK,71.0,70.0,74.0,69.0,35.0,72.0,Brazil
Diogo Costa,2700000,70,GK,69.0,66.0,59.0,73.0,33.0,71.0,Portugal
Luís Maximiano,2600000,70,GK,74.0,67.0,63.0,72.0,26.0,66.0,Portugal
A. Maksimenko,2500000,70,GK,71.0,65.0,67.0,75.0,38.0,70.0,Russia
M. Schubert,2500000,70,GK,73.0,67.0,59.0,74.0,37.0,65.0,Germany
I. Zlobin,2300000,70,GK,68.0,66.0,61.0,71.0,29.0,72.0,Russia
G. Banguera,2100000,70,GK,70.0,66.0,66.0,73.0,43.0,69.0,Colombia
C. Acevedo,2100000,70,GK,71.0,67.0,69.0,71.0,23.0,70.0,Mexico
R. Rúnarsson,2000000,70,GK,71.0,68.0,72.0,71.0,46.0,70.0,Iceland
V. Milinković-Savić,2000000,70,GK,69.0,69.0,78.0,70.0,43.0,69.0,Serbia
A. Batalla,2000000,70,GK,72.0,64.0,68.0,75.0,42.0,64.0,Argentina
Koke Vegas,2000000,70,GK,72.0,70.0,60.0,68.0,52.0,67.0,Spain
F. Manojlović,2000000,70,GK,73.0,69.0,71.0,70.0,19.0,65.0,Serbia
Joel Pereira,1900000,70,GK,69.0,72.0,68.0,72.0,43.0,67.0,Portugal
A. Werner,1900000,70,GK,74.0,72.0,75.0,70.0,44.0,68.0,Argentina
M. Rodák,1900000,70,GK,72.0,69.0,72.0,71.0,46.0,67.0,Slovakia
M. Verrips,1900000,70,GK,71.0,68.0,71.0,72.0,16.0,66.0,Netherlands
O. Linnér,1800000,70,GK,69.0,69.0,67.0,70.0,35.0,72.0,Sweden
S. McDermott,1700000,70,GK,70.0,67.0,57.0,73.0,45.0,68.0,Republic of Ireland
Adrián Ortolá,1800000,70,GK,70.0,68.0,74.0,71.0,51.0,70.0,Spain
A. Linde,1800000,70,GK,73.0,66.0,66.0,74.0,49.0,67.0,Sweden
M. Müller,1800000,70,GK,69.0,68.0,65.0,73.0,32.0,66.0,Germany
J. Busk,1800000,70,GK,73.0,62.0,67.0,75.0,43.0,66.0,Denmark
L. García,1700000,70,GK,71.0,71.0,67.0,70.0,48.0,70.0,Mexico
M. Caillard,1800000,70,GK,74.0,67.0,58.0,70.0,43.0,70.0,France
A. Micai,1800000,70,GK,67.0,70.0,64.0,74.0,47.0,64.0,Italy
I. Provedel,1800000,70,GK,71.0,67.0,61.0,73.0,42.0,69.0,Italy
Alfonso Herrero,1800000,70,GK,69.0,70.0,68.0,73.0,50.0,66.0,Spain
A. Davies,1700000,70,GK,70.0,68.0,67.0,71.0,40.0,69.0,Wales
P. Bråtveit,1700000,70,GK,72.0,64.0,72.0,68.0,46.0,70.0,Norway
A. Koșelev,1700000,70,GK,70.0,68.0,62.0,72.0,29.0,68.0,Moldova
F. Plach,1600000,70,GK,69.0,68.0,65.0,71.0,27.0,69.0,Slovakia
J. Steer,1600000,70,GK,68.0,69.0,70.0,71.0,50.0,70.0,England
A. Diallo,1600000,70,GK,70.0,68.0,67.0,71.0,41.0,70.0,Senegal
Z. Boucher,1600000,70,GK,71.0,65.0,71.0,75.0,56.0,68.0,France
N. Leali,1600000,70,GK,72.0,70.0,58.0,73.0,32.0,64.0,Italy
M. Koval,1600000,70,GK,70.0,65.0,67.0,73.0,44.0,69.0,Ukraine
G. Athanasiadis,1600000,70,GK,69.0,67.0,65.0,77.0,32.0,66.0,Greece
F. Kurto,1500000,70,GK,71.0,65.0,61.0,73.0,60.0,67.0,Poland
Yang Han Been,1500000,70,GK,72.0,63.0,61.0,75.0,44.0,69.0,Korea Republic
M. Dupé,1500000,70,GK,71.0,70.0,61.0,74.0,45.0,65.0,France
O. Marciano,1500000,70,GK,71.0,69.0,60.0,72.0,42.0,66.0,Israel
A. Paleari,1500000,70,GK,70.0,70.0,67.0,72.0,32.0,71.0,Italy
G. Anestis,1500000,70,GK,70.0,65.0,68.0,71.0,23.0,73.0,Greece
O. Shevchenko,1500000,70,GK,69.0,66.0,73.0,71.0,23.0,71.0,Ukraine
A. Seculin,1500000,70,GK,73.0,67.0,57.0,79.0,30.0,63.0,Italy
L. Thomas,1400000,70,GK,71.0,67.0,62.0,73.0,38.0,66.0,Australia
D. Keet,0,70,GK,72.0,69.0,68.0,71.0,44.0,67.0,South Africa
D. Rodríguez,1400000,70,GK,72.0,64.0,73.0,75.0,45.0,65.0,Argentina
Z. Zivkovic,1400000,70,GK,71.0,66.0,66.0,75.0,29.0,68.0,Serbia
G. Pegolo,180000,70,GK,70.0,68.0,60.0,70.0,43.0,70.0,Italy
H. Arıkan,300000,70,GK,74.0,60.0,62.0,74.0,44.0,72.0,Turkey
T. Acar,950000,70,GK,72.0,65.0,67.0,79.0,35.0,59.0,Turkey
Rubén,475000,70,GK,70.0,66.0,71.0,72.0,45.0,71.0,Spain
P. Kieszek,475000,70,GK,71.0,68.0,67.0,70.0,48.0,68.0,Poland
B. Białkowski,1100000,70,GK,65.0,70.0,65.0,71.0,42.0,73.0,Poland
J. Ruddy,1100000,70,GK,70.0,66.0,72.0,71.0,41.0,70.0,England
J. Dahlin,1100000,70,GK,66.0,70.0,67.0,69.0,37.0,73.0,Sweden
R. Elliot,950000,70,GK,71.0,66.0,76.0,71.0,41.0,70.0,Republic of Ireland
R. Riou,1100000,70,GK,70.0,68.0,66.0,68.0,49.0,71.0,France
M. Fraga,1100000,70,GK,70.0,70.0,74.0,69.0,51.0,69.0,Mexico
R. M'Bolhi,950000,70,GK,71.0,64.0,63.0,77.0,48.0,64.0,Algeria
Manolo Reina,775000,70,GK,67.0,68.0,65.0,70.0,57.0,73.0,Spain
E. Kawashima,300000,70,GK,70.0,65.0,71.0,74.0,44.0,67.0,Japan
Wang Dalei,1200000,70,GK,69.0,68.0,76.0,70.0,59.0,65.0,China PR
M. Männel,1100000,70,GK,73.0,70.0,59.0,74.0,48.0,65.0,Germany
K. Kronholm,950000,70,GK,74.0,64.0,65.0,74.0,36.0,64.0,United States
P. Šteinbors,950000,70,GK,72.0,66.0,65.0,74.0,37.0,71.0,Latvia
S. Colombi,1300000,70,GK,71.0,67.0,53.0,76.0,40.0,69.0,Italy
R. Köse,1100000,70,GK,74.0,62.0,57.0,75.0,34.0,74.0,Turkey
F. Giefer,1300000,70,GK,73.0,64.0,58.0,72.0,37.0,71.0,Germany
Pedro Trigueira,1100000,70,GK,65.0,68.0,72.0,72.0,45.0,70.0,Portugal
A. Hayashi,1100000,70,GK,71.0,73.0,63.0,73.0,48.0,68.0,Japan
S. Clark,950000,70,GK,70.0,68.0,65.0,70.0,34.0,67.0,United States
A. Domínguez,1100000,70,GK,66.0,67.0,70.0,71.0,32.0,69.0,Ecuador
M. Riemann,1200000,70,GK,69.0,64.0,71.0,74.0,50.0,67.0,Germany
J. Cuadrado,775000,70,GK,70.0,67.0,73.0,70.0,46.0,67.0,Colombia
M. Ibáñez,1100000,70,GK,67.0,72.0,62.0,69.0,42.0,70.0,Argentina
Rafael Defendi,475000,70,GK,68.0,70.0,69.0,69.0,34.0,71.0,Brazil
Victor Fachinhas,475000,70,GK,69.0,73.0,58.0,74.0,38.0,63.0,Brazil
Jairo Farnias,1100000,70,GK,64.0,68.0,69.0,75.0,55.0,68.0,Brazil
M. Asselah,1100000,70,GK,70.0,68.0,62.0,73.0,43.0,66.0,Algeria
N. Körber,1500000,69,GK,71.0,64.0,59.0,75.0,35.0,67.0,Germany
H. Koffi,1400000,69,GK,70.0,66.0,67.0,72.0,34.0,66.0,Burkina Faso
L. Montipò,1300000,69,GK,68.0,68.0,64.0,73.0,41.0,67.0,Italy
Dani Martín,1300000,69,GK,69.0,67.0,66.0,72.0,47.0,66.0,Spain
C. Walton,1300000,69,GK,72.0,68.0,67.0,70.0,35.0,68.0,England
B. Peacock-Farrell,1300000,69,GK,72.0,65.0,72.0,73.0,52.0,63.0,Northern Ireland
E. Bansen,1300000,69,GK,74.0,68.0,60.0,68.0,22.0,67.0,Germany
S. Rossbach,1200000,69,GK,69.0,67.0,65.0,71.0,44.0,67.0,Norway
Soriano,1200000,69,GK,71.0,66.0,65.0,71.0,37.0,65.0,Spain
L. Cháves,1100000,69,GK,72.0,66.0,62.0,70.0,45.0,69.0,Argentina
M. Gersbeck,1100000,69,GK,67.0,70.0,58.0,72.0,42.0,67.0,Germany
J. Gonzalez,1100000,69,GK,70.0,67.0,66.0,70.0,42.0,67.0,United States
O. De Wolf,1100000,69,GK,67.0,70.0,76.0,71.0,35.0,69.0,Belgium
A. Bayındır,1100000,69,GK,73.0,69.0,64.0,76.0,21.0,68.0,Turkey
D. Bachmann,1100000,69,GK,68.0,67.0,68.0,69.0,43.0,65.0,Austria
F. Ondoa,1100000,69,GK,73.0,62.0,61.0,77.0,53.0,68.0,Cameroon
S. Allagbé,1100000,69,GK,70.0,72.0,68.0,71.0,29.0,67.0,Benin
T. Wellenreuther,1100000,69,GK,72.0,64.0,61.0,70.0,53.0,67.0,Germany
M. Turner,1100000,69,GK,70.0,69.0,64.0,73.0,39.0,72.0,United States
Caro,1100000,69,GK,68.0,68.0,65.0,68.0,35.0,71.0,Spain
V. Cojocaru,1100000,69,GK,64.0,69.0,68.0,73.0,33.0,69.0,Romania
K. Broll,1100000,69,GK,70.0,66.0,42.0,72.0,15.0,71.0,Germany
S. Rojas,0,69,GK,75.0,65.0,73.0,68.0,25.0,68.0,Paraguay
J. Brinkies,1000000,69,GK,68.0,66.0,65.0,74.0,52.0,70.0,Germany
F. Bredlow,1100000,69,GK,71.0,68.0,60.0,71.0,38.0,64.0,Germany
C. MacGillivray,1000000,69,GK,69.0,65.0,64.0,73.0,50.0,66.0,Scotland
J. Huth,1000000,69,GK,70.0,65.0,74.0,72.0,55.0,66.0,Germany
Z. Clark,950000,69,GK,66.0,65.0,70.0,75.0,31.0,70.0,Scotland
J. Blackman,1000000,69,GK,70.0,69.0,63.0,73.0,27.0,66.0,England
B. Uphoff,1000000,69,GK,69.0,67.0,68.0,71.0,38.0,66.0,Germany
M. van der Hart,1000000,69,GK,73.0,64.0,69.0,71.0,42.0,66.0,Netherlands
M. Crépeau,1000000,69,GK,68.0,67.0,67.0,70.0,50.0,69.0,Canada
G. Gallon,975000,69,GK,69.0,67.0,66.0,70.0,40.0,68.0,France
A. Jovanović,975000,69,GK,70.0,66.0,66.0,68.0,22.0,70.0,Serbia
D. Rudd,950000,69,GK,71.0,64.0,64.0,73.0,50.0,65.0,England
C. Coosemans,950000,69,GK,70.0,63.0,70.0,72.0,45.0,68.0,Belgium
J. Chunga,925000,69,GK,76.0,62.0,69.0,71.0,42.0,63.0,Colombia
Kim Seung Gyu,925000,69,GK,69.0,65.0,72.0,70.0,36.0,70.0,Korea Republic
C. Maxwell,925000,69,GK,68.0,67.0,69.0,71.0,42.0,67.0,Wales
M. Michel,875000,69,GK,69.0,67.0,64.0,71.0,49.0,68.0,France
E. Chaux,875000,69,GK,69.0,65.0,60.0,74.0,46.0,68.0,Colombia
M. Yıldırım,925000,69,GK,70.0,67.0,62.0,70.0,25.0,70.0,Turkey
A. Vural,925000,69,GK,72.0,63.0,61.0,74.0,45.0,68.0,Turkey
C. Riegler,875000,69,GK,69.0,66.0,61.0,73.0,30.0,65.0,Austria
J. Borgueray,0,69,GK,65.0,63.0,61.0,73.0,50.0,69.0,Ecuador
Y. Thoelen,875000,69,GK,67.0,72.0,65.0,69.0,39.0,68.0,Belgium
Ricardo Ribeiro,850000,69,GK,67.0,73.0,63.0,68.0,42.0,70.0,Portugal
M. Kolke,875000,69,GK,70.0,65.0,59.0,74.0,44.0,67.0,Germany
J. Gillet,110000,69,GK,65.0,72.0,69.0,67.0,39.0,75.0,Belgium
B. Castro,180000,69,GK,69.0,69.0,50.0,68.0,35.0,75.0,Belgium
M. Agazzi,450000,69,GK,71.0,63.0,69.0,70.0,41.0,66.0,Italy
N. Mäenpää,450000,69,GK,70.0,69.0,65.0,66.0,37.0,66.0,Finland
K. Stuhr-Ellegaard,180000,69,GK,66.0,71.0,68.0,65.0,38.0,69.0,Denmark
A. Rosati,180000,69,GK,68.0,69.0,46.0,68.0,31.0,70.0,Italy
D. Ousted,450000,69,GK,68.0,69.0,66.0,68.0,37.0,67.0,Denmark
J. Young,575000,69,GK,67.0,67.0,64.0,69.0,47.0,65.0,England
T. Carson,675000,69,GK,75.0,69.0,60.0,63.0,52.0,68.0,Northern Ireland
F. Fielding,675000,69,GK,67.0,67.0,60.0,74.0,40.0,66.0,England
J. Herrera,110000,69,GK,70.0,66.0,72.0,67.0,55.0,68.0,Chile
P. Tytoń,650000,69,GK,67.0,64.0,66.0,72.0,50.0,69.0,Poland
P. Hansson,575000,69,GK,74.0,58.0,71.0,72.0,40.0,65.0,Sweden
V. Mannone,675000,69,GK,67.0,69.0,67.0,69.0,60.0,69.0,Italy
D. Stockdale,575000,69,GK,68.0,64.0,75.0,72.0,31.0,66.0,England
T. Kirschbaum,650000,69,GK,72.0,67.0,68.0,71.0,27.0,62.0,Germany
A. Blanco,675000,69,GK,66.0,69.0,65.0,71.0,55.0,68.0,Mexico
D. Petrić,675000,69,GK,70.0,62.0,59.0,72.0,43.0,71.0,Serbia
M. Vigorito,750000,69,GK,70.0,67.0,63.0,73.0,44.0,66.0,Italy
P. Abrahamsson,700000,69,GK,69.0,70.0,68.0,68.0,42.0,67.0,Sweden
R. Romo,0,69,GK,66.0,63.0,61.0,73.0,50.0,69.0,Venezuela
C. Lampe,0,69,GK,66.0,71.0,62.0,70.0,32.0,68.0,Bolivia
B. Leroy,700000,69,GK,70.0,68.0,67.0,68.0,39.0,67.0,France
Nicolas,675000,69,GK,71.0,69.0,64.0,71.0,43.0,67.0,Brazil
B. Sangaré,0,69,GK,73.0,67.0,63.0,68.0,42.0,67.0,Ivory Coast
C. Bejarano,450000,69,GK,70.0,66.0,59.0,72.0,56.0,65.0,Equatorial Guinea
D. Sánchez,650000,69,GK,72.0,68.0,68.0,70.0,47.0,63.0,Chile
N. Ibáñez,110000,69,GK,74.0,65.0,75.0,71.0,45.0,68.0,Argentina
G. Sara,675000,69,GK,70.0,64.0,67.0,73.0,40.0,68.0,Argentina
I. Vargić,650000,69,GK,68.0,67.0,65.0,72.0,21.0,69.0,Croatia
F. Pellegrino,575000,69,GK,66.0,74.0,57.0,67.0,37.0,70.0,Argentina
P. Mina,575000,69,GK,71.0,69.0,66.0,73.0,43.0,64.0,Colombia
A. Aguilar,0,69,GK,75.0,62.0,64.0,72.0,46.0,66.0,Paraguay
Luciano Cacheira,280000,69,GK,76.0,62.0,77.0,76.0,31.0,55.0,Brazil
Kaíque Mutto,750000,69,GK,79.0,55.0,66.0,83.0,42.0,55.0,Brazil
Ailton Cardenhas,675000,69,GK,68.0,70.0,70.0,69.0,24.0,76.0,Brazil
C. Cáceda,0,69,GK,69.0,69.0,65.0,72.0,29.0,71.0,Peru
H. Yılmaz,280000,69,GK,69.0,65.0,60.0,72.0,26.0,69.0,Turkey
Mateus Pasinato,750000,69,GK,69.0,66.0,71.0,66.0,21.0,70.0,Brazil
M. Genesh,0,69,GK,69.0,70.0,62.0,68.0,30.0,72.0,Egypt
M. Svilar,1300000,68,GK,71.0,65.0,63.0,70.0,59.0,64.0,Belgium
M. Prévot,1200000,68,GK,68.0,66.0,67.0,70.0,34.0,68.0,France
A. Ramsdale,1200000,68,GK,68.0,66.0,65.0,71.0,49.0,66.0,England
R. Ramírez,1100000,68,GK,69.0,67.0,58.0,72.0,49.0,66.0,Argentina
K. Kotsaris,1100000,68,GK,70.0,65.0,60.0,73.0,48.0,67.0,Greece
B. Radunović,1100000,68,GK,69.0,68.0,64.0,71.0,41.0,69.0,Serbia
P. Dahlberg,1100000,68,GK,68.0,65.0,66.0,69.0,28.0,66.0,Sweden
Josep Martínez,1100000,68,GK,70.0,68.0,64.0,69.0,27.0,67.0,Spain
A. Šemper,1100000,68,GK,71.0,66.0,63.0,66.0,19.0,68.0,Croatia
D. Phillips,1000000,68,GK,69.0,66.0,61.0,72.0,45.0,68.0,England
R. Cordano,0,68,GK,71.0,67.0,65.0,72.0,29.0,70.0,Bolivia
A. Fulignati,950000,68,GK,70.0,63.0,65.0,69.0,47.0,68.0,Italy
