short_name,value_eur,overall,player_positions,pace,shooting,passing,dribbling,defending,physic,nationality
R. Saponara,9500000,77,CAM,68.0,67.0,77.0,80.0,43.0,61.0,Italy
L. Tonelli,7500000,77,CB,64.0,31.0,44.0,59.0,79.0,71.0,Italy
E. Bičakčić,7500000,77,CB,57.0,37.0,50.0,47.0,78.0,78.0,Bosnia Herzegovina
A. Trebel,9000000,77,CM,73.0,67.0,76.0,76.0,67.0,75.0,France
Luís Neto,6500000,77,CB,58.0,37.0,59.0,53.0,79.0,74.0,Portugal
M. Pereyra,8500000,77,CM,73.0,71.0,77.0,78.0,54.0,63.0,Uruguay
F. Fajr,8000000,77,CM,63.0,73.0,79.0,77.0,68.0,67.0,Morocco
L. Castro,8000000,77,CM,71.0,67.0,78.0,80.0,64.0,66.0,Argentina
V. Chiricheș,7500000,77,CB,63.0,64.0,56.0,62.0,80.0,69.0,Romania
S. Ristovski,8000000,77,RB,89.0,61.0,68.0,74.0,74.0,79.0,FYR Macedonia
E. Vargas,8500000,77,CAM,80.0,76.0,70.0,80.0,39.0,67.0,Chile
Marçal,7000000,77,LB,77.0,57.0,71.0,73.0,76.0,75.0,Brazil
Roger,9000000,77,ST,76.0,78.0,60.0,74.0,41.0,69.0,Spain
T. Strobl,7500000,77,CDM,53.0,49.0,66.0,58.0,79.0,77.0,Germany
R. Saïss,7500000,77,CDM,62.0,53.0,70.0,69.0,76.0,74.0,Morocco
Nacho,7000000,77,LB,84.0,55.0,66.0,70.0,75.0,70.0,Spain
F. Ferreyra,9000000,77,ST,65.0,76.0,59.0,74.0,31.0,68.0,Argentina
L. López,7500000,77,CB,63.0,51.0,50.0,61.0,77.0,72.0,Argentina
M. Casco,6500000,77,LB,86.0,68.0,71.0,77.0,71.0,78.0,Argentina
P. Pérez,5000000,77,CM,63.0,68.0,77.0,74.0,70.0,80.0,Argentina
J. Palomino,7500000,77,CB,52.0,32.0,55.0,58.0,78.0,80.0,Argentina
A. Marušić,9500000,77,RM,87.0,71.0,72.0,76.0,72.0,76.0,Montenegro
R. Ábila,9000000,77,ST,67.0,75.0,56.0,71.0,31.0,82.0,Argentina
Sergi Guardiola,9000000,77,ST,76.0,77.0,62.0,77.0,30.0,77.0,Spain
Gazzolisco,6500000,77,LB,82.0,67.0,71.0,71.0,74.0,86.0,Brazil
Vieirundinho,6500000,77,CB,61.0,39.0,52.0,54.0,78.0,83.0,Brazil
Simão Acunha,8000000,77,CAM,80.0,68.0,77.0,77.0,36.0,63.0,Brazil
Formosandrinho,9500000,77,ST,81.0,77.0,60.0,73.0,24.0,64.0,Brazil
L. Baezo,0,77,CDM,71.0,70.0,69.0,71.0,78.0,83.0,Uruguay
A. Píriz,0,77,CAM,80.0,68.0,77.0,77.0,34.0,63.0,Uruguay
S. Luna,0,77,RB,80.0,71.0,71.0,76.0,72.0,74.0,Uruguay
V. Castro,0,77,CDM,72.0,62.0,74.0,69.0,75.0,81.0,Uruguay
J. Monsario,0,77,CB,34.0,48.0,48.0,39.0,76.0,82.0,Ecuador
P. Foden,16500000,76,CAM,74.0,64.0,74.0,79.0,55.0,55.0,England
M. Kean,14500000,76,ST,81.0,72.0,50.0,77.0,30.0,68.0,Italy
Rodrygo,14000000,76,LW,85.0,72.0,65.0,80.0,29.0,57.0,Brazil
Florentino,12000000,76,CDM,65.0,44.0,62.0,68.0,76.0,73.0,Portugal
A. Maier,13000000,76,CM,67.0,57.0,72.0,75.0,68.0,70.0,Germany
R. Mandragora,12000000,76,CM,58.0,63.0,73.0,75.0,74.0,73.0,Italy
K. Tierney,11000000,76,LB,88.0,59.0,70.0,74.0,71.0,81.0,Scotland
G. Mancini,11500000,76,CB,55.0,45.0,44.0,50.0,77.0,75.0,Italy
A. Lookman,12500000,76,RM,82.0,74.0,68.0,83.0,28.0,61.0,England
T. Adams,11500000,76,CDM,76.0,48.0,67.0,72.0,73.0,75.0,United States
R. Orsolini,12500000,76,CAM,78.0,69.0,73.0,80.0,39.0,60.0,Italy
E. N'Dicka,11000000,76,CB,68.0,44.0,59.0,61.0,76.0,74.0,France
W. McKennie,12500000,76,CM,68.0,64.0,69.0,74.0,76.0,83.0,United States
A. Mac Allister,12500000,76,CAM,71.0,75.0,75.0,74.0,56.0,62.0,Argentina
J. Koundé,11500000,76,CB,70.0,31.0,48.0,62.0,78.0,69.0,France
Kangin Lee,11500000,76,CAM,72.0,71.0,75.0,80.0,27.0,49.0,Korea Republic
B. Embolo,12000000,76,ST,75.0,71.0,67.0,75.0,39.0,75.0,Switzerland
T. Castagne,12000000,76,LM,82.0,56.0,69.0,75.0,73.0,68.0,Belgium
Edu Expósito,11500000,76,CM,56.0,68.0,70.0,74.0,65.0,55.0,Spain
T. Abraham,12000000,76,ST,74.0,74.0,57.0,69.0,31.0,68.0,England
D. Malen,12000000,76,ST,91.0,73.0,64.0,80.0,29.0,72.0,Netherlands
Aleñá,12000000,76,CM,75.0,68.0,73.0,78.0,61.0,62.0,Spain
A. Ndiaye,12000000,76,LM,87.0,70.0,67.0,81.0,46.0,66.0,Senegal
Gedson Fernandes,12000000,76,CM,79.0,70.0,73.0,76.0,71.0,77.0,Portugal
F. Chalov,12000000,76,ST,80.0,74.0,65.0,75.0,33.0,63.0,Russia
I. Sangaré,11000000,76,CDM,68.0,64.0,72.0,72.0,74.0,80.0,Ivory Coast
F. Benković,11000000,76,CB,64.0,46.0,56.0,56.0,75.0,82.0,Croatia
S. Chukwueze,12000000,76,RM,87.0,72.0,66.0,82.0,36.0,57.0,Nigeria
I. Pussetto,11500000,76,ST,80.0,74.0,62.0,77.0,25.0,65.0,Argentina
M. Locatelli,10500000,76,CDM,60.0,63.0,74.0,74.0,75.0,70.0,Italy
M. Çelik,10000000,76,RB,81.0,42.0,70.0,71.0,73.0,74.0,Turkey
K. Dolberg,11500000,76,ST,75.0,80.0,61.0,74.0,29.0,65.0,Denmark
X. Schlager,11500000,76,CM,78.0,68.0,71.0,77.0,65.0,74.0,Austria
J. Brekalo,11500000,76,LW,82.0,65.0,69.0,82.0,36.0,52.0,Croatia
I. Doumbia,10500000,76,CDM,68.0,57.0,68.0,73.0,74.0,86.0,Ivory Coast
M. Sarr,10500000,76,CB,70.0,51.0,68.0,66.0,76.0,76.0,France
E. Álvarez,10500000,76,CB,70.0,53.0,66.0,68.0,75.0,75.0,Mexico
A. Danjuma Groeneveld,11500000,76,LM,82.0,73.0,71.0,79.0,42.0,67.0,Netherlands
M. Terrier,11500000,76,LW,82.0,76.0,73.0,75.0,34.0,64.0,France
A. Haidara,11500000,76,CM,73.0,70.0,74.0,76.0,65.0,69.0,Mali
T. Koopmeiners,10500000,76,CDM,68.0,67.0,74.0,70.0,74.0,76.0,Netherlands
I. Hayden,10000000,76,CDM,58.0,55.0,64.0,68.0,74.0,76.0,England
K. Linetty,10500000,76,CM,69.0,63.0,71.0,75.0,72.0,70.0,Poland
A. Živković,11000000,76,RM,75.0,69.0,74.0,83.0,57.0,51.0,Serbia
J. Augustin,11000000,76,ST,81.0,75.0,62.0,80.0,30.0,63.0,France
R. Holding,10000000,76,CB,60.0,34.0,59.0,64.0,77.0,73.0,England
W. Anton,10000000,76,CB,64.0,46.0,58.0,66.0,77.0,77.0,Germany
L. Blas,11000000,76,CM,78.0,69.0,75.0,79.0,62.0,64.0,France
A. Harit,11000000,76,CAM,81.0,60.0,71.0,82.0,44.0,46.0,Morocco
Zubeldia,10000000,76,CDM,60.0,66.0,76.0,72.0,71.0,68.0,Spain
P. Schick,11000000,76,ST,71.0,73.0,70.0,81.0,36.0,64.0,Czech Republic
A. Franco,10000000,76,CB,65.0,34.0,50.0,57.0,76.0,77.0,Argentina
N. Milenković,10000000,76,CB,64.0,44.0,62.0,61.0,75.0,81.0,Serbia
Unai Núñez,10000000,76,CB,64.0,22.0,46.0,49.0,74.0,73.0,Spain
B. Engels,9500000,76,CB,60.0,44.0,61.0,56.0,75.0,76.0,Belgium
T. Bongonda,10500000,76,LM,82.0,68.0,70.0,82.0,26.0,55.0,Belgium
D. Ćaleta-Car,9500000,76,CB,64.0,40.0,59.0,59.0,75.0,79.0,Croatia
F. Guilbert,9500000,76,RB,73.0,47.0,66.0,68.0,76.0,75.0,France
Matheus Pereira,10500000,76,RM,79.0,73.0,71.0,81.0,39.0,64.0,Brazil
Toni Villa,10500000,76,LM,79.0,64.0,74.0,83.0,52.0,49.0,Spain
Eduardo Henrique,10500000,76,CM,72.0,68.0,74.0,74.0,71.0,77.0,Brazil
Y. Aït Bennasser,10500000,76,CM,74.0,62.0,76.0,78.0,65.0,67.0,Morocco
S. Ascacíbar,9500000,76,CDM,70.0,46.0,61.0,66.0,77.0,76.0,Argentina
T. Hernández,9500000,76,LB,92.0,57.0,65.0,74.0,70.0,76.0,France
Y. En-Nesyri,10500000,76,ST,75.0,74.0,54.0,74.0,34.0,74.0,Morocco
Y. Osorio,9500000,76,CB,56.0,31.0,44.0,50.0,74.0,83.0,Venezuela
D. Praet,10000000,76,CM,69.0,70.0,77.0,78.0,61.0,64.0,Belgium
L. Augustinsson,9000000,76,LB,76.0,59.0,75.0,74.0,71.0,72.0,Sweden
M. Cornet,10500000,76,RW,88.0,76.0,69.0,76.0,36.0,72.0,Ivory Coast
Gonçalo Paciência,10500000,76,ST,64.0,76.0,54.0,77.0,33.0,77.0,Portugal
Rúben Semedo,9000000,76,CB,68.0,52.0,54.0,64.0,74.0,77.0,Portugal
S. Gigot,9000000,76,CB,65.0,29.0,61.0,58.0,76.0,79.0,France
L. Waldschmidt,10500000,76,CF,76.0,78.0,69.0,75.0,29.0,60.0,Germany
I. Kahveci,10000000,76,CM,77.0,68.0,76.0,78.0,62.0,67.0,Turkey
Rubén Duarte,9000000,76,LB,68.0,36.0,65.0,67.0,77.0,70.0,Spain
Pedraza,10500000,76,LM,83.0,71.0,71.0,76.0,69.0,73.0,Spain
V. Guzmán,10000000,76,CM,75.0,71.0,73.0,75.0,69.0,70.0,Mexico
Palhinha,9500000,76,CDM,40.0,51.0,65.0,67.0,76.0,80.0,Portugal
A. Barboza,9500000,76,CB,54.0,55.0,58.0,62.0,73.0,84.0,Argentina
Xeka,9500000,76,CDM,62.0,58.0,71.0,74.0,70.0,75.0,Portugal
B. Raman,10000000,76,LM,91.0,72.0,66.0,79.0,26.0,56.0,Belgium
S. Denswil,9000000,76,CB,46.0,57.0,66.0,64.0,76.0,74.0,Netherlands
M. Livaja,10000000,76,ST,74.0,73.0,60.0,75.0,32.0,77.0,Croatia
Paulinho,10000000,76,CAM,70.0,70.0,73.0,77.0,31.0,46.0,Brazil
A. Rusnák,10000000,76,CAM,72.0,75.0,75.0,75.0,45.0,60.0,Slovakia
J. Hendrix,9000000,76,CDM,68.0,59.0,67.0,71.0,73.0,77.0,Netherlands
M. Benítez,10000000,76,CAM,77.0,71.0,70.0,79.0,49.0,59.0,Argentina
Wallace,9000000,76,CB,65.0,28.0,44.0,48.0,77.0,72.0,Brazil
Camarasa,10000000,76,CM,63.0,73.0,74.0,75.0,69.0,73.0,Spain
L. Acosta,10000000,76,CAM,81.0,67.0,71.0,80.0,46.0,61.0,Argentina
M. Nakamba,9000000,76,CDM,74.0,49.0,63.0,72.0,75.0,82.0,Zimbabwe
F. Kamano,10000000,76,LW,87.0,74.0,68.0,77.0,33.0,62.0,Guinea
D. Reyes,8500000,76,CB,62.0,46.0,61.0,69.0,77.0,67.0,Mexico
N. Araújo,8500000,76,CB,68.0,41.0,55.0,58.0,76.0,77.0,Mexico
A. Maher,9500000,76,CM,70.0,68.0,77.0,77.0,61.0,55.0,Netherlands
R. Morrison,9500000,76,CAM,78.0,69.0,75.0,79.0,50.0,57.0,England
M. Elyounoussi,10000000,76,LM,78.0,71.0,75.0,76.0,39.0,63.0,Norway
J. Locadia,10000000,76,ST,73.0,75.0,71.0,73.0,36.0,73.0,Netherlands
C. Taylor,8500000,76,LB,71.0,54.0,71.0,74.0,75.0,76.0,England
S. Kverkvelia,8500000,76,CB,72.0,38.0,53.0,40.0,78.0,81.0,Georgia
J. Córdoba,9500000,76,ST,82.0,75.0,61.0,72.0,44.0,83.0,Colombia
Fernandinho,9500000,76,CAM,80.0,69.0,72.0,77.0,51.0,67.0,Brazil
Pere Pons,9500000,76,CM,66.0,61.0,72.0,74.0,69.0,73.0,Spain
R. Khedira,8500000,76,CB,56.0,43.0,61.0,61.0,76.0,77.0,Germany
D. Kohr,8500000,76,CDM,68.0,58.0,63.0,71.0,75.0,79.0,Germany
A. Masuaku,8500000,76,LB,86.0,63.0,72.0,81.0,70.0,70.0,DR Congo
D. Yedlin,8500000,76,RWB,92.0,51.0,65.0,76.0,71.0,70.0,United States
F. Di Francesco,9500000,76,LW,81.0,67.0,73.0,81.0,40.0,61.0,Italy
Otávio,8500000,76,CDM,66.0,51.0,64.0,70.0,77.0,75.0,Brazil
F. Cervi,9500000,76,LM,92.0,65.0,68.0,84.0,50.0,51.0,Argentina
A. Briançon,8500000,76,CB,60.0,48.0,60.0,55.0,75.0,79.0,France
R. Gosens,10000000,76,LM,79.0,65.0,72.0,75.0,72.0,77.0,Germany
Bustinza,8500000,76,CB,62.0,35.0,62.0,62.0,76.0,72.0,Spain
F. Andone,9500000,76,ST,75.0,75.0,63.0,73.0,51.0,78.0,Romania
Dalbert,8500000,76,LB,91.0,58.0,69.0,76.0,72.0,71.0,Brazil
Caio,9500000,76,LM,83.0,72.0,70.0,79.0,30.0,55.0,Brazil
Pablo Santos,8500000,76,CB,66.0,39.0,43.0,53.0,77.0,77.0,Brazil
V. Coufal,8500000,76,RB,77.0,60.0,70.0,72.0,72.0,80.0,Czech Republic
E. Mangala,8000000,76,CB,61.0,42.0,53.0,51.0,74.0,79.0,France
Oriol Romeu,8000000,76,CDM,45.0,39.0,63.0,62.0,77.0,77.0,Spain
D. Heintz,8500000,76,CB,59.0,36.0,60.0,59.0,74.0,79.0,Germany
A. Thomasson,9500000,76,CM,73.0,70.0,75.0,76.0,64.0,63.0,France
C. McGregor,8500000,76,CDM,78.0,69.0,73.0,78.0,69.0,76.0,Scotland
S. Widmer,8000000,76,RB,80.0,64.0,73.0,76.0,72.0,78.0,Switzerland
M. Jørgensen,7500000,76,CB,66.0,40.0,59.0,55.0,75.0,80.0,Denmark
T. Kolodziejczak,8000000,76,CB,77.0,37.0,67.0,60.0,76.0,79.0,France
E. Cardona,9000000,76,CAM,56.0,78.0,78.0,76.0,40.0,79.0,Colombia
P. Jansson,7500000,76,CB,64.0,42.0,53.0,62.0,76.0,79.0,Sweden
D. Ings,9000000,76,ST,75.0,74.0,64.0,76.0,32.0,66.0,England
M. Gabbiadini,9000000,76,ST,66.0,79.0,71.0,76.0,26.0,64.0,Italy
J. Guidetti,9000000,76,ST,61.0,77.0,68.0,73.0,41.0,74.0,Sweden
A. Wakaso,8000000,76,CDM,67.0,49.0,60.0,66.0,77.0,83.0,Ghana
Cédric,7500000,76,RB,77.0,66.0,70.0,76.0,73.0,70.0,Portugal
F. Klaus,9000000,76,RW,81.0,71.0,70.0,78.0,37.0,69.0,Germany
O. Onazi,8000000,76,CDM,80.0,66.0,71.0,76.0,75.0,72.0,Nigeria
T. Monconduit,7500000,76,CDM,64.0,55.0,72.0,69.0,75.0,77.0,France
J. Campbell,9000000,76,ST,88.0,74.0,74.0,78.0,40.0,72.0,Costa Rica
Alberto Moreno,8000000,76,LB,85.0,65.0,68.0,78.0,70.0,70.0,Spain
V. Claesson,0,76,CAM,74.0,73.0,72.0,73.0,42.0,72.0,Sweden
Guilherme,7500000,76,CDM,67.0,64.0,72.0,69.0,72.0,78.0,Brazil
Paulo Oliveira,8000000,76,CB,63.0,35.0,50.0,61.0,76.0,75.0,Portugal
Luiz Phellype,9500000,76,ST,54.0,78.0,59.0,69.0,30.0,81.0,Brazil
Ricardo Esgaio,8000000,76,RB,74.0,66.0,74.0,80.0,70.0,68.0,Portugal
D. Türüç,9000000,76,RM,75.0,69.0,78.0,76.0,56.0,69.0,Turkey
Y. Gómez Andrade,8000000,76,CB,54.0,32.0,40.0,42.0,76.0,85.0,Colombia
G. Shibasaki,9000000,76,CAM,68.0,68.0,75.0,76.0,68.0,64.0,Japan
R. Aliendro,7500000,76,CDM,78.0,72.0,69.0,77.0,72.0,78.0,Argentina
J. Defoe,2800000,76,ST,67.0,82.0,60.0,75.0,26.0,56.0,England
P. Jagielka,1600000,76,CB,46.0,44.0,57.0,52.0,77.0,65.0,England
B. Schweinsteiger,2900000,76,CB,34.0,71.0,79.0,71.0,74.0,73.0,Germany
M. Topal,0,76,CDM,55.0,64.0,63.0,68.0,76.0,76.0,Turkey
H. Kaldırım,6500000,76,LB,74.0,56.0,68.0,71.0,74.0,72.0,Turkey
A. Hutchinson,1700000,76,CDM,65.0,64.0,73.0,71.0,75.0,75.0,Canada
J. Briand,4800000,76,ST,66.0,76.0,73.0,72.0,46.0,71.0,France
B. Džemaili,4500000,76,CM,57.0,73.0,76.0,76.0,71.0,66.0,Switzerland
L. Ponzio,1700000,76,CDM,44.0,59.0,70.0,68.0,77.0,72.0,Argentina
R. Klavan,3600000,76,CB,41.0,48.0,63.0,61.0,77.0,67.0,Estonia
J. Dátolo,3200000,76,CM,61.0,76.0,80.0,77.0,51.0,60.0,Argentina
A. Turan,6000000,76,LM,64.0,73.0,77.0,77.0,64.0,66.0,Turkey
O. Wendt,3500000,76,LB,70.0,62.0,74.0,73.0,74.0,70.0,Sweden
Soldado,4100000,76,ST,57.0,77.0,71.0,72.0,43.0,68.0,Spain
Diego Castro,2600000,76,CAM,63.0,72.0,72.0,80.0,44.0,58.0,Spain
M. Gómez,4800000,76,ST,58.0,75.0,59.0,67.0,35.0,75.0,Germany
M. Noble,6000000,76,CM,41.0,67.0,76.0,73.0,72.0,70.0,England
J. Sand,2800000,76,ST,46.0,79.0,61.0,65.0,36.0,74.0,Argentina
P. Skjelbred,5000000,76,CDM,58.0,46.0,71.0,76.0,71.0,72.0,Norway
R. Palacio,2800000,76,ST,74.0,71.0,72.0,82.0,46.0,65.0,Argentina
Y. Zhirkov,0,76,LB,75.0,69.0,75.0,77.0,75.0,71.0,Russia
M. Bradley,6000000,76,CDM,58.0,62.0,75.0,72.0,69.0,76.0,United States
R. Snodgrass,7000000,76,RM,61.0,74.0,77.0,76.0,47.0,71.0,Scotland
Markel Bergara,3700000,76,CDM,42.0,64.0,72.0,65.0,73.0,72.0,Spain
A. Hunt,6000000,76,CAM,65.0,73.0,75.0,76.0,44.0,63.0,Germany
Léo Matos,3500000,76,RB,84.0,69.0,71.0,75.0,72.0,76.0,Brazil
A. Mierzejewski,6000000,76,CAM,73.0,74.0,73.0,77.0,45.0,73.0,Poland
K. El Ahmadi,3000000,76,CDM,62.0,62.0,71.0,73.0,71.0,77.0,Morocco
S. Sessègnon,3400000,76,CAM,74.0,71.0,75.0,79.0,60.0,72.0,Benin
A. Diamanti,2600000,76,CAM,64.0,70.0,78.0,79.0,33.0,60.0,Italy
D. Basta,2700000,76,RB,69.0,66.0,70.0,74.0,76.0,70.0,Serbia
F. Higuaín,3900000,76,CAM,56.0,71.0,78.0,74.0,49.0,61.0,Argentina
S. Bocchetti,4900000,76,CB,66.0,51.0,55.0,61.0,76.0,79.0,Italy
J. Cork,7000000,76,CM,47.0,62.0,73.0,71.0,76.0,80.0,England
J. Rodriguez,7500000,76,ST,72.0,74.0,68.0,72.0,41.0,68.0,England
G. dos Santos,7500000,76,CAM,84.0,73.0,73.0,79.0,33.0,51.0,Mexico
J. McArthur,6500000,76,CM,60.0,65.0,72.0,73.0,71.0,75.0,Scotland
J. Maidana,3600000,76,CB,45.0,37.0,63.0,50.0,75.0,80.0,Argentina
D. Zurutuza,6000000,76,CM,56.0,70.0,74.0,76.0,68.0,65.0,France
S. Bamba,2900000,76,CB,51.0,28.0,44.0,56.0,76.0,79.0,Ivory Coast
Adrián,7000000,76,ST,66.0,76.0,68.0,81.0,27.0,62.0,Spain
J. Altidore,7500000,76,ST,70.0,76.0,61.0,69.0,32.0,81.0,United States
W. Reid,6000000,76,CB,52.0,52.0,48.0,49.0,77.0,73.0,New Zealand
D. Chygrynskyi,4900000,76,CB,50.0,39.0,59.0,45.0,76.0,75.0,Ukraine
A. Ayew,7500000,76,RM,73.0,72.0,72.0,78.0,56.0,75.0,Ghana
O. Toivonen,6000000,76,ST,50.0,77.0,75.0,73.0,41.0,73.0,Sweden
Mossoró,3400000,76,CAM,70.0,72.0,75.0,78.0,45.0,60.0,Brazil
M. Fellaini,6500000,76,CM,42.0,71.0,70.0,69.0,76.0,88.0,Belgium
F. Lustenberger,5500000,76,CB,58.0,37.0,60.0,65.0,78.0,70.0,Switzerland
F. Johnson,7000000,76,LM,76.0,66.0,73.0,75.0,68.0,66.0,United States
Vieirinha,3500000,76,LB,77.0,77.0,75.0,81.0,70.0,64.0,Portugal
J. De Guzmán,6500000,76,CM,66.0,73.0,79.0,79.0,54.0,67.0,Netherlands
D. Biseswar,7000000,76,CAM,73.0,70.0,76.0,79.0,33.0,60.0,Netherlands
T. Mangani,6000000,76,CM,55.0,69.0,76.0,71.0,71.0,73.0,France
R. Donk,3700000,76,CDM,60.0,64.0,68.0,70.0,74.0,85.0,Netherlands
Pablo Hernández,3900000,76,RM,70.0,73.0,76.0,78.0,46.0,60.0,Spain
Ki Sung Yueng,7000000,76,CM,58.0,72.0,79.0,74.0,64.0,69.0,Korea Republic
C. Cathcart,6000000,76,CB,40.0,37.0,57.0,53.0,77.0,73.0,Northern Ireland
B. Dočkal,7500000,76,CAM,65.0,74.0,79.0,75.0,49.0,59.0,Czech Republic
A. Ekdal,7500000,76,CM,49.0,65.0,75.0,73.0,71.0,73.0,Sweden
D. Stephens,7000000,76,CM,57.0,64.0,74.0,69.0,71.0,78.0,England
B. Dzsudzsák,0,76,LM,75.0,77.0,78.0,76.0,32.0,62.0,Hungary
R. Rosales,6000000,76,RB,71.0,64.0,70.0,74.0,75.0,67.0,Venezuela
M. Albrighton,7500000,76,RM,70.0,68.0,75.0,77.0,59.0,69.0,England
E. Choupo-Moting,7500000,76,ST,76.0,71.0,68.0,77.0,37.0,71.0,Cameroon
S. Terodde,7000000,76,ST,56.0,78.0,55.0,66.0,38.0,77.0,Germany
M. Moralez,6000000,76,CAM,73.0,71.0,74.0,77.0,52.0,50.0,Argentina
F. Roncaglia,4900000,76,CB,61.0,53.0,68.0,64.0,77.0,71.0,Argentina
K. Papadopoulos,7000000,76,CB,52.0,40.0,47.0,44.0,76.0,78.0,Greece
M. Lang,6500000,76,RB,68.0,69.0,68.0,66.0,76.0,78.0,Switzerland
N. Sánchez,3600000,76,CB,46.0,46.0,59.0,59.0,74.0,82.0,Argentina
A. Szalai,7000000,76,ST,40.0,76.0,61.0,70.0,40.0,77.0,Hungary
I. Popov,0,76,CAM,76.0,74.0,74.0,75.0,48.0,70.0,Bulgaria
M. Stoch,7500000,76,LM,84.0,77.0,73.0,80.0,37.0,55.0,Slovakia
P. van Aanholt,6500000,76,LB,87.0,68.0,70.0,76.0,72.0,71.0,Netherlands
F. Borini,8000000,76,LW,74.0,74.0,72.0,78.0,45.0,69.0,Italy
E. Hernández,7000000,76,RM,75.0,72.0,75.0,78.0,47.0,60.0,Mexico
T. Gebre Selassie,4800000,76,RB,73.0,51.0,70.0,75.0,75.0,72.0,Czech Republic
I. Radovanović,6500000,76,CDM,55.0,59.0,72.0,68.0,73.0,77.0,Serbia
Kiko Olivas,6000000,76,CB,52.0,52.0,59.0,59.0,76.0,78.0,Spain
C. Kouyaté,6500000,76,CDM,69.0,65.0,61.0,69.0,76.0,85.0,Senegal
O. El Kaddouri,8000000,76,CAM,74.0,71.0,76.0,76.0,57.0,71.0,Morocco
Rochina,7500000,76,CM,69.0,76.0,77.0,81.0,54.0,69.0,Spain
L. Acosta,7000000,76,LW,92.0,70.0,67.0,79.0,45.0,63.0,Argentina
Diogo Viana,6500000,76,RB,84.0,65.0,73.0,78.0,71.0,65.0,Portugal
C. Villanueva,4700000,76,CAM,61.0,71.0,76.0,79.0,50.0,50.0,Chile
M. Schmelzer,5500000,76,LB,74.0,48.0,67.0,66.0,76.0,76.0,Germany
Miguel Lopes,4800000,76,RB,77.0,50.0,68.0,71.0,74.0,78.0,Portugal
Iturraspe,7000000,76,CM,44.0,63.0,72.0,67.0,76.0,69.0,Spain
A. Cresswell,6500000,76,LB,71.0,59.0,73.0,75.0,74.0,67.0,England
T. Cleverley,7500000,76,CM,64.0,69.0,75.0,73.0,61.0,62.0,England
Kiko Femenía,6500000,76,RB,75.0,58.0,71.0,79.0,73.0,68.0,Spain
S. Zuber,8000000,76,CM,78.0,74.0,73.0,77.0,71.0,75.0,Switzerland
Rubén Pérez,6500000,76,CDM,40.0,56.0,69.0,65.0,73.0,74.0,Spain
T. Jantschke,6500000,76,CB,58.0,41.0,64.0,65.0,77.0,74.0,Germany
S. Blanco,7000000,76,LM,76.0,74.0,73.0,78.0,33.0,70.0,Argentina
D. Quintero,7000000,76,CF,86.0,73.0,70.0,81.0,28.0,65.0,Colombia
I. Brizuela,8000000,76,RM,89.0,67.0,69.0,80.0,45.0,71.0,Mexico
K. Théophile-Catherine,6500000,76,CB,69.0,50.0,68.0,64.0,74.0,78.0,France
A. Smith,6500000,76,RB,71.0,60.0,71.0,74.0,75.0,69.0,England
Y. Ōsako,7500000,76,CF,75.0,72.0,65.0,78.0,44.0,67.0,Japan
Júnior Caiçara,6000000,76,RB,80.0,56.0,74.0,76.0,72.0,65.0,Brazil
M. Jajalo,6500000,76,CM,66.0,66.0,74.0,78.0,73.0,79.0,Bosnia Herzegovina
R. Hamouma,6000000,76,RM,67.0,73.0,76.0,78.0,42.0,63.0,France
A. Schürrle,8000000,76,LW,75.0,78.0,72.0,78.0,43.0,68.0,Germany
N. Viergever,6500000,76,CB,70.0,55.0,65.0,67.0,75.0,77.0,Netherlands
Portillo,7500000,76,RM,61.0,72.0,77.0,77.0,55.0,63.0,Spain
H. Pérez,0,76,RM,73.0,74.0,73.0,76.0,39.0,72.0,Paraguay
A. Gray,8000000,76,ST,86.0,75.0,62.0,73.0,30.0,72.0,England
Montoya,6500000,76,RB,77.0,61.0,71.0,72.0,73.0,69.0,Spain
A. Mooy,7500000,76,CM,59.0,69.0,77.0,73.0,69.0,74.0,Australia
D. Pabón,7000000,76,RW,85.0,77.0,73.0,76.0,38.0,82.0,Colombia
J. Martínez,6000000,76,ST,67.0,74.0,62.0,71.0,39.0,76.0,Colombia
G. Moreno,4700000,76,CAM,73.0,74.0,69.0,77.0,53.0,76.0,Colombia
T. Gutiérrez,4100000,76,ST,57.0,75.0,72.0,77.0,28.0,72.0,Colombia
Mexer,6000000,76,CB,60.0,48.0,58.0,63.0,75.0,77.0,Mozambique
Héldon,7500000,76,RM,85.0,71.0,70.0,78.0,29.0,58.0,Cape Verde
D. Boyata,7000000,76,CB,68.0,30.0,51.0,60.0,74.0,85.0,Belgium
M. Höger,6500000,76,CDM,51.0,69.0,72.0,70.0,74.0,79.0,Germany
C. Ortíz,6500000,76,CDM,67.0,57.0,66.0,73.0,74.0,77.0,Paraguay
Raúl Navas,5500000,76,CB,37.0,45.0,58.0,46.0,77.0,65.0,Spain
S. Taïder,8000000,76,CM,70.0,73.0,74.0,75.0,66.0,77.0,Algeria
João Pedro,8000000,76,CF,72.0,75.0,72.0,75.0,40.0,67.0,Brazil
J. Clasie,7500000,76,CM,63.0,64.0,77.0,74.0,67.0,69.0,Netherlands
R. Inglese,8000000,76,ST,58.0,75.0,49.0,69.0,27.0,70.0,Italy
N. Jørgensen,8000000,76,ST,71.0,76.0,70.0,72.0,39.0,76.0,Denmark
C. Schindler,6500000,76,CB,63.0,32.0,57.0,55.0,77.0,75.0,Germany
